kod_bank,nama,swiftcode
816600000,"Affin Bank Berhad",PHBMMYKL
816600001,"AFFIN INVESTMENT BANK BERHAD",PAMBMYK1
816600002,"AFFIN ISLAMIC BANK BERHAD",AIBBMYKL
816600003,"Al Rajhi Banking & Investment Corporation",RJHIMYKL
816600004,"Alliance Bank Berhad",MFBBMYKL
816600005,"ALLIANCE INVESTMENT BANK BERHAD",MBAMMYKL
816600006,"ALLIANCE INVESTMENT BANK BERHAD - SPI",MBAMMY21
816600007,"ALLIANCE ISLAMIC BANK BERHAD",ALSRMYK1
816600008,"AMBANK Berhad",ARBKMYKL
816600009,"AMBANK BERHAD-ISLAMIC",ARBK9999
816600010,"AMINVESTMENT BANK BERHAD",AMMBMYKL
816600011,"AMINVESTMENT BANK BERHAD - SPI",AMMBMY21
816600012,"AMISLAMIC BANK BERHAD",AISLMYKL
816600013,"ASEAMBANKERS MALAYSIA BHD-THIRD PARTY",MBEAMYK1
816600014,"ASEAMBANKERS M`SIA BHD (SPI ACC)",MBEA9999
816600015,"ASIAN FINANCE BERHAD",AFBQMYKL
816600016,"BANGKOK BANK BERHAD",BKKBMYKL
816600017,"Bank Islam Malaysia",BIMBMYKL
816600018,"Bank Muamalat (Malaysia)",BMMBMYKL
816600019,"BANK NEGARA MALAYSIA",BNMAMYKL
816600020,"Bank of America",BOFAMY2X
816600021,"BANK OF CHINA (MALAYSIA) BERHAD",BKCHMYKL
816600022,"Bank of Tokyo Mitsubishi (M) BHD",BOTKMYKX
816600023,"BANK PEMBANGUNAN MALAYSIA BHD",PEMBMYK1
816600024,"BANK PEMBANGUNAN MALAYSIA BHD-SPI",PEMBMY21
816600025,"Bank Pertanian Malaysia",BPMBMYKL
816600026,"BANK PERTANIAN MSIA BHD -SPI",AGOB9999
816600027,"Bank Rakyat Malaysia",BKRMMYKL
816600028,"BANK RAKYAT MAS(M) BHD-SPTF",BRMB9999
816600029,"Bank Simpanan Nasional",BSNAMYK1
816600030,"BANK SIMPANAN NASIONAL - ISLAMIC",BSNA9999
816600031,"BNM : AKAUNTAN NEGARA - KHAS",BNMAMYKL15
816600032,"BNM : AKAUNTAN NEGARA - MMO",BNMAMYKL16
816600033,"BNM : AKAUNTAN NEGARA - UTAMA",BNMAMYKL19
816600034,"BNM : CIT - SAFE GUARD",BNMAMYKL21
816600035,"BNM : CIT - SECURIFORCE",BNMAMYKL20
816600036,"BNM : CIT - TUAH GUARD",BNMAMYKL22
816600037,"BNM : DANAMODAL BHD",BNMAMYKL11
816600038,"BNM : KUMP WANG AMANAH NEGARA",BNMAMYKL09
816600039,"BNM : TABUNG AMANAH SEACEN",BNMAMYKL23
816600040,"BNM- CIT-SECURICOR",BNMAMYKL14
816600056,"BNP Paribas Malaysia",BNPAMYKL
816600057,"BNP PARIBAS(M) BHD(ISLAMIC BANKING WINDO",BNPA9999
816600058,"CAGAMAS BERHAD",CAGAMYKL
816600059,"CAGAMAS BERHAD - SPTF",CAGAMY21
816600060,"CIMB Bank Berhad",CIBBMYKL
816600061,"CIMB INVESTMENT BANK BERHAD",COIMMYKL
816600062,"CIMB INVESTMENT BERHAD - SPI",COIMMY21
816600063,"CIMB ISLAMIC BANK BERHAD",CTBBMYKL
816600064,"CITIBANK Berhad",CITIMYKL
816600065,"CITIBANK BERHAD - SPI",CITI9999
816600066,"DEUTSCHE BANK",DEUT9999
816600067,"Deutsche Bank (M) BHD",DEUTMYKL
816600068,"ECM LIBRA AVENUE SECURITIES SDN BHD",AVSSMYK1
816600069,EUROCLEAR,MGTCBEBE
816600070,"EXPORT IMPORT BANK BERHAD",EXMBMYKL
816600071,"EXPORT IMPORT BANK BERHAD-SPI",EXMBMY21
816600072,"Hong Leong Bank",HLBBMYKL
816600073,"HONG LEONG INVESTMENT BANK",HLIVMYKL
816600074,"HONG LEONG ISLAMIC BANK BERHAD",HLIBMYKL
816600075,"HSBC (M) Berhad",HBMBMYKL
816600076,"HSBC AMANAH MALAYSIA BERHAD",HBMBMYKL
816600077,"HSBC BANK MALAYSIA BERHAD - SPI",HBMB9999
816600078,"HWANG-DBS INVESTMENT BANK BERHAD",HDSBMY2P
816600079,"IND & COM Bank of China",ICBKMYKL
816600080,"INDIA INTERNATIONAL BANK(MALAYSIA) BERHAD",IIMBMYKL
816600081,"J.P. Morgan Chase",CHASMYKX
816600082,"KAF INVESTMENT BANK BERHAD",KAFBMYKL
816600083,"KAF INVESTMENT BANK BERHAD - SPI",KAFBMY21
816600084,"KENANGA INVESTMENT BANK BERHAD",KKENMYK1
816600085,"KUMPULAN WANG PERSARAAN",KWAPMYK1
816600086,"KUMPULAN WANG SIMPANAN PEKERJA",KWSPMYK1
816600087,"Kuwait Finance House",KFHOMYKL
816600088,"MALAYAN BANKING BERHAD",MBBEMYKL
816600089,"MALAYSIAN ELECTRONIC PAYMENT SYSTEM SDN.",MEPSMYK1
816600090,"MAYBANK ISLAMIC BERHAD",MBISMYKL
816600091,"MIDF AMANAH INVESTMENT BANK BERHAD",MIDFMYK1
816600092,"MIDF AMANAH INVESTMENT BANK BERHAD - SPI",MIDFMY21
816600093,"MIMB INVESTMENT BANK BERHAD",MIMBMYKL
816600094,"MIZUHO CORPORATE BANK (MALAYSIA) BHD",MHCBMYKA
816600095,"NATIONAL BANK OF ABU DHABI",NBADMYKL
816600096,"OCBC AL-AMIN BANK BERHAD",OABBMYKL
816600097,"OCBC Bank (M`sia) BHD",OCBCMYKL
816600098,"OSK INVESTMENT BANK BERHAD",OSKIMYKL
816600099,"OSK INVESTMENT BANK BERHAD -SPI",OSKI9999
816600100,"Public Bank",PBBEMYKL
816600101,"PUBLIC INVESTMENT BANK BERHAD",SMBBMYK1
816600102,"PUBLIC ISLAMIC BANK BERHAD",PIBEMYK1
816600103,"RHB Bank",RHBBMYKL
816600104,"RHB BANK - ISLAMIC",RHBAMYKL
816600105,"RHB INVESTMENT BANK BERHAD",OSKIMYKL
816600106,"Royal Bank of Scotland",ABNAMYKL
816600107,"SME BANK",MSMEMYK1
816600108,"SME BANK-SPI",MSMEMY21
816600109,"Standard Chartered",SCBLMYKX
816600110,"STANDARD CHARTERED SAADIQ BERHAD",SCSRMYKK
816600111,"Sumitomo Mitsui Bank",SMBCMYKL
816600112,"THE BANK OF NOVA SCOTIA BERHAD",NOSCMYKL
816600113,"United Overseas Bank",UOVBMYKL
816600114,"AGRO BANK",AGOBMYKL
816600115,"AGRO BANK ISLAMIC",AGOBMYKL
